Semivariogram           tail:Z            head:Z             direction  1 
   1         .000       .00000      102         .00000         .00000
   2       31.654       .27345       16        -.46828        -.46828
   3      106.369       .57480      120         .02391         .02391
   4      205.316      1.05288      278        -.00371        -.00371
   5      296.897      1.08892      308         .08458         .08458
   6      406.978      1.09940      426        -.03880        -.03880
   7      500.948      1.05140      322         .03702         .03702
   8      602.202      1.00325      370         .01193         .01193
   9      700.335      1.12044      296         .07436         .07436
